County_subdivision,Total_population
"Adamstown borough, Lancaster County, Pennsylvania",1916
"Akron borough, Lancaster County, Pennsylvania",4152
"Bart township, Lancaster County, Pennsylvania",3181
"Brecknock township, Lancaster County, Pennsylvania",7557
"Caernarvon township, Lancaster County, Pennsylvania",4609
"Christiana borough, Lancaster County, Pennsylvania",1112
"Clay township, Lancaster County, Pennsylvania",6857
"Colerain township, Lancaster County, Pennsylvania",3883
"Columbia borough, Lancaster County, Pennsylvania",10207
"Conestoga township, Lancaster County, Pennsylvania",3914
"Conoy township, Lancaster County, Pennsylvania",3361
"Denver borough, Lancaster County, Pennsylvania",3792
"Drumore township, Lancaster County, Pennsylvania",2561
"Earl township, Lancaster County, Pennsylvania",7144
"East Cocalico township, Lancaster County, Pennsylvania",10767
"East Donegal township, Lancaster County, Pennsylvania",8684
"East Drumore township, Lancaster County, Pennsylvania",3936
"East Earl township, Lancaster County, Pennsylvania",6699
"East Hempfield township, Lancaster County, Pennsylvania",26304
"East Lampeter township, Lancaster County, Pennsylvania",17776
"East Petersburg borough, Lancaster County, Pennsylvania",4573
"Eden township, Lancaster County, Pennsylvania",2239
"Elizabeth township, Lancaster County, Pennsylvania",3985
"Elizabethtown borough, Lancaster County, Pennsylvania",11639
"Ephrata borough, Lancaster County, Pennsylvania",13794
"Ephrata township, Lancaster County, Pennsylvania",10386
"Fulton township, Lancaster County, Pennsylvania",3214
"Lancaster city, Lancaster County, Pennsylvania",58039
"Lancaster township, Lancaster County, Pennsylvania",18642
"Leacock township, Lancaster County, Pennsylvania",5652
"Lititz borough, Lancaster County, Pennsylvania",9381
"Little Britain township, Lancaster County, Pennsylvania",4118
"Manheim borough, Lancaster County, Pennsylvania",5046
"Manheim township, Lancaster County, Pennsylvania",43977
"Manor township, Lancaster County, Pennsylvania",21849
"Marietta borough, Lancaster County, Pennsylvania",2623
"Martic township, Lancaster County, Pennsylvania",5221
"Millersville borough, Lancaster County, Pennsylvania",7903
"Mount Joy borough, Lancaster County, Pennsylvania",8325
"Mount Joy township, Lancaster County, Pennsylvania",10721
"Mountville borough, Lancaster County, Pennsylvania",3017
"New Holland borough, Lancaster County, Pennsylvania",5743
"Paradise township, Lancaster County, Pennsylvania",5672
"Penn township, Lancaster County, Pennsylvania",10210
"Pequea township, Lancaster County, Pennsylvania",5474
"Providence township, Lancaster County, Pennsylvania",6995
"Quarryville borough, Lancaster County, Pennsylvania",2843
"Rapho township, Lancaster County, Pennsylvania",12024
"Sadsbury township, Lancaster County, Pennsylvania",3536
"Salisbury township, Lancaster County, Pennsylvania",11494
"Strasburg borough, Lancaster County, Pennsylvania",3117
"Strasburg township, Lancaster County, Pennsylvania",4457
"Terre Hill borough, Lancaster County, Pennsylvania",1357
"Upper Leacock township, Lancaster County, Pennsylvania",8921
"Warwick township, Lancaster County, Pennsylvania",19022
"West Cocalico township, Lancaster County, Pennsylvania",7456
"West Donegal township, Lancaster County, Pennsylvania",8944
"West Earl township, Lancaster County, Pennsylvania",8560
"West Hempfield township, Lancaster County, Pennsylvania",17020
"West Lampeter township, Lancaster County, Pennsylvania",17383
